video_id,title,channel,published_at,view_count,like_count,comment_count,category_id
HAH88mU5pJc,Kajol Ne Banayi Prawns Biryani aur Dilip Bana DDLJ Ka Shah Rukh Khan! @FarahKhanK,Farah Khan,2025-06-27T08:00:30Z,2814907,68250,4149,22
GTbkAqXRUSQ,NEW! Ep 4434 - Bhide ko Kaise Milega भूतनी से चुटकारा? | Taarak Mehta ka Ooltah Chashmah,Taarak Mehta Ka Ooltah Chashmah,2025-06-26T15:30:19Z,5315225,50331,1962,23
Qb8S1Rp_gYU,Mangli Renuka Yellamma | Bonalu Song 2025 | Full Song | Suresh Bobbili | Indravathi | Nakka Srikanth,Mangli Official,2025-06-27T02:30:06Z,924506,33105,961,10
kPtyygC5deg,Filmymoji || Middle Class Madhu || Puri Jagannath Ratha Yatra || Episode 02 || MCM,Filmymoji,2025-06-27T03:37:53Z,1247521,94087,3252,24
rsJ-LGpE7Lc,Chikitu - Official Music Video | COOLIE | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Sun TV,2025-06-25T12:30:48Z,7701956,383603,10864,24
_sD11omrk8g,Vj Siddhu On Fire! | OG Sambavam - Part 2 | ROFL with Harshath Khan & Adirchi Arun | Sam Vishal,Media Masons,2025-06-27T12:30:06Z,585405,45721,1334,24
jp06g8Vkq3w,TRAITOR WINNER REVEALED ft. @Puravjha_ @raftaarmusic,Tanmay Bhat,2025-06-27T14:30:06Z,1275706,72644,1076,23
ZnapjfATb6w,"The Family Man S3 | Official Announcement | Raj & DK | Manoj Bajpayee, Jaideep Ahlawat",Prime Video India,2025-06-27T12:31:44Z,2243585,74608,3035,24
c7VjbWUwTWE,West Indies vs Australia | Australia Tour of West Indies | 2025 | 1st Test | Day 2 | Highlights,FanCode,2025-06-27T04:02:08Z,1118764,17102,915,27
zWC-6EUR_K0,Streets Of India ! | Summer Edition | HardToonz,HardToonz,2025-06-27T07:24:13Z,1160650,67807,4335,1
vfcpkjIEgvQ,"OG Sambavam with Vj Siddhu, Harshath Khan & Adirchi Arun | @VjSiddhuVlog Fans Assemble | SamVishal",Media Masons,2025-06-26T12:30:07Z,1005215,64875,1399,24
BoxOVQ5oP9Y,3BHK (Tamil) - Official Trailer | Siddharth | Sarath Kumar | Sri Ganesh | Amrit Ramnath | Arun Viswa,Think Music India,2025-06-26T05:30:02Z,4110095,96845,2824,1
KSiPPWoCEOQ,The Traitors Show Roast Ft Sufi Motiwala & Purav Jha,Thugesh,2025-06-27T15:23:35Z,981672,55545,1639,24
jVVwYXV22zg,At Peace (Official Video) Karan Aujla | Latest Punjabi Songs 2025,Rehaan Records,2025-06-26T12:30:05Z,9588868,238124,16945,10
8RYk_MV4Qm4,ലേബർ റൂമിന്റെ ഫ്രണ്ടിൽ പൊട്ടികരഞ്ഞു ഉമ്മമാർ കണ്ട് നിന്നവർ വരെ കരഞ്ഞു ആൽഹംദുലില്ലഹ്|BABY GIRL,Noufal f tkd,2025-06-27T05:13:02Z,462695,8010,801,22
lTGuddfkeGg,"Kannappa Movie Review | Manchu Vishnu, Prabhas , Akshay Kumar | Kannappa | THYVIEW",Thyview,2025-06-27T03:32:05Z,685833,21202,522,24
XTXQs14Uyp8,West Indies vs Australia | Australia Tour of West Indies | 2025 | 1st Test | Day 1 | Highlights,FanCode,2025-06-26T01:38:13Z,2118953,31775,1289,27
7EIMs3AR_lY,"Junior Teaser -Telugu | Kireeti, Sreeleela | Genelia | Radha Krishna | DSP |Vaaraahi Chalana Chitram",Vaaraahi Chalana Chitram,2025-06-27T11:49:23Z,2480636,94436,300,1
OeaoCsC5v0E,माऊलीच्या मैत्रिणीला चोरांनी खांबाला बांधून टाकलं 🫢,Madhukar Kute Comedy ,2025-06-27T10:22:22Z,314217,709,0,24
TWCmkh9ABT0,Rollar  Mahendra//Odia Comedy//4k//Funny Angulia//Khordha Toka//Krishna Rout,Funny Angulia,2025-06-25T06:31:24Z,1246797,71342,3426,24
7hJX1eE-Y0Q,SonOfSardaar 2 - OFFICIAL ANNOUNCEMENT | Ajay Devgn & Mrunal Thakur | Vijay Kumar Arora | 25th July,JioStudios,2025-06-26T06:46:04Z,3609560,97493,2677,24
DhJs89oG3Ro,What is This Sigma Brain Rot (ft. a Surprise),Nischay Malhan,2025-06-26T09:00:15Z,1851554,111781,2313,27
jJwoylleoZk,Spying on baby in his SCHOOL 😲 *Shocking*,Wanderers Hub,2025-06-25T05:40:06Z,4253078,117072,4576,22
O3X-ZiDnyAY,Shreya Ke Liye Rishta Ep.1005 | FUNwithPRASAD | #funwithprasad,FUNwithPRASAD,2025-06-27T09:45:55Z,481994,23938,2736,23
ikVQVQcd9pQ,മഴക്കാലത്ത് മരത്തിൻറെ വാതിലുകളും ജനലുകളും അടയുന്നില്ലെങ്കിൽ ഈ സൂത്രം ഒന്ന് ചെയ്തു നോക്കൂ💯,Ansi's Vlog,2025-06-27T09:01:16Z,131898,2834,217,22
